[1] "d.pm.mic" "HM7"     
Inference for Bugs model at "hyena.model7.txt", fit using WinBUGS,
 2 chains, each with 10 iterations (first 5 discarded)
 n.sims = 10 iterations saved
                     mean   sd    2.5%     25%     50%     75%   97.5% Rhat n.eff
resid[93]           -0.23 0.27   -0.56   -0.44   -0.27   -0.02    0.19 1.04    10
resid[94]           -0.28 0.27   -0.65   -0.45   -0.32   -0.10    0.11 1.19    10
resid[95]           -0.83 0.25   -1.27   -0.94   -0.82   -0.73   -0.49 1.56     5
resid[96]           -0.94 0.18   -1.23   -1.01   -0.96   -0.83   -0.65 1.21     8
resid[97]           -0.12 0.29   -0.49   -0.34   -0.17    0.00    0.35 1.07    10
resid[98]           -0.38 0.15   -0.60   -0.47   -0.37   -0.32   -0.14 1.90     4
resid[99]           -1.00 0.21   -1.39   -1.04   -0.95   -0.89   -0.76 1.31     6
resid[100]          -0.12 0.19   -0.34   -0.25   -0.15   -0.03    0.22 1.03    10
resid[101]          -0.23 0.21   -0.44   -0.35   -0.25   -0.20    0.21 1.09    10
resid[102]           3.03 1.08    1.94    2.33    2.55    3.45    5.05 0.90    10
resid[103]          -0.12 0.27   -0.52   -0.32   -0.09   -0.01    0.32 1.18    10
resid[104]           1.26 0.30    0.90    1.03    1.15    1.58    1.63 0.94    10
resid[105]          -0.12 0.23   -0.46   -0.31   -0.07    0.07    0.13 0.93    10
resid[106]           0.08 0.19   -0.23   -0.02    0.11    0.20    0.37 1.12    10
resid[107]          -0.07 0.21   -0.28   -0.25   -0.13    0.05    0.29 0.95    10
resid[108]          -0.74 0.22   -1.02   -0.91   -0.77   -0.53   -0.46 1.89     4
resid[109]          -2.21 1.00   -3.78   -2.89   -2.21   -1.41   -0.92 1.00    10
resid[110]          -0.09 0.20   -0.37   -0.22   -0.15    0.07    0.22 1.11    10
resid[111]          -2.42 0.96   -4.05   -2.79   -2.38   -1.89   -1.09 1.00    10
resid[112]          -0.06 0.22   -0.35   -0.19   -0.06    0.08    0.27 0.90    10
resid[113]          -2.48 1.19   -3.86   -3.52   -2.59   -1.38   -0.97 1.63     4
resid[114]          -2.86 1.57   -5.67   -3.90   -2.55   -1.50   -1.35 1.81     4
resid[115]          -1.64 0.59   -2.73   -1.69   -1.51   -1.21   -1.08 1.16    10
resid[116]          -0.48 0.34   -1.09   -0.56   -0.40   -0.32   -0.05 1.77     4
resid[117]          -0.42 0.16   -0.61   -0.57   -0.42   -0.28   -0.20 1.41     6
resid[118]          -2.05 0.69   -2.99   -2.47   -2.18   -1.40   -1.14 1.36     6
resid[119]          -0.57 0.25   -1.00   -0.72   -0.57   -0.38   -0.25 0.98    10
resid[120]          -2.36 1.59   -4.76   -3.87   -1.73   -1.09   -0.98 2.16     3
resid[121]          -0.62 0.30   -1.13   -0.75   -0.50   -0.43   -0.28 1.65     4
resid[122]           0.15 0.26   -0.25   -0.04    0.15    0.35    0.53 1.05    10
resid[123]           0.15 0.31   -0.41    0.05    0.18    0.38    0.54 1.10    10
resid[124]          -0.67 0.19   -0.90   -0.77   -0.67   -0.65   -0.30 1.12    10
resid[125]          -1.90 0.56   -2.58   -2.28   -2.12   -1.40   -1.09 1.00    10
resid[126]          -1.02 0.21   -1.39   -1.15   -0.96   -0.86   -0.78 1.40     6
resid[127]           0.98 0.21    0.71    0.82    0.98    1.09    1.35 1.02    10
resid[128]           1.03 0.25    0.69    0.79    1.07    1.20    1.37 1.50     5
resid[129]           2.58 0.95    1.23    1.84    2.67    3.18    3.87 1.02    10
resid[130]           1.00 0.34    0.35    0.86    1.04    1.18    1.49 1.35     7
resid[131]           1.14 0.29    0.69    0.99    1.16    1.27    1.61 1.02    10
resid[132]          -0.20 0.21   -0.52   -0.34   -0.20   -0.05    0.09 1.13    10
resid[133]           3.17 1.15    2.00    2.17    3.10    3.56    5.25 1.00    10
resid[134]           3.08 1.37    1.58    1.86    2.79    4.00    5.20 0.92    10
resid[135]          -0.29 0.32   -0.75   -0.47   -0.33   -0.09    0.23 0.91    10
resid[136]           1.06 0.26    0.65    0.87    1.11    1.28    1.37 1.01    10
resid[137]           1.14 0.25    0.85    0.97    1.07    1.27    1.57 0.91    10
resid[138]           2.16 0.65    1.48    1.64    2.05    2.44    3.33 1.92     4
resid[139]           2.44 0.75    1.40    1.86    2.34    3.17    3.35 1.01    10
resid[140]           2.50 0.92    1.69    1.80    2.17    2.81    4.27 0.91    10
resid[141]           2.76 1.65    1.80    1.99    2.27    2.70    5.89 1.38     6
resid[142]          -2.33 1.25   -4.88   -2.72   -1.86   -1.54   -1.34 1.35     7
resid[143]           2.99 1.31    1.85    1.97    2.46    3.77    5.24 3.16     3
resid[144]           3.15 1.04    1.85    2.56    2.93    3.68    4.96 1.16    10
resid[145]           2.91 1.16    1.65    1.95    2.81    3.48    4.90 1.13    10
resid[146]           1.26 0.28    0.85    1.06    1.24    1.51    1.65 1.03    10
resid[147]           0.42 0.16    0.13    0.32    0.46    0.54    0.60 1.22    10
resid[148]           0.69 0.21    0.33    0.57    0.70    0.84    0.95 1.20    10
resid[149]           0.53 0.28    0.22    0.33    0.50    0.62    1.02 1.05    10
resid[150]          -0.01 0.24   -0.35   -0.15   -0.01    0.18    0.36 1.09    10
resid[151]          -0.69 0.28   -1.21   -0.83   -0.61   -0.58   -0.33 1.30     8
resid[152]          -1.79 0.94   -3.60   -2.31   -1.41   -1.24   -0.94 1.88     4
resid[153]          -2.66 1.18   -4.89   -3.08   -2.57   -1.92   -1.25 1.11    10
resid[154]          -2.68 1.12   -4.33   -3.70   -2.43   -1.79   -1.35 0.92    10
resid[155]          -2.51 1.31   -5.04   -2.95   -2.17   -1.77   -0.99 1.07    10
resid[156]           2.52 0.58    1.83    2.06    2.43    2.83    3.44 1.32     6
resid[157]           3.12 0.93    1.59    3.02    3.14    3.23    4.49 1.83     4
resid[158]           3.47 1.24    2.14    2.69    2.87    4.56    5.44 1.05    10
resid[159]           3.05 1.39    1.84    2.09    2.50    3.77    5.64 0.91    10
resid[160]          -3.94 1.11   -5.73   -4.48   -3.77   -3.09   -2.74 1.16    10
resid[161]          -1.97 1.01   -3.63   -2.63   -1.95   -1.14   -0.78 0.99    10
resid[162]          -0.48 0.30   -0.89   -0.74   -0.48   -0.24   -0.10 1.46     5
resid[163]          -1.78 0.98   -3.59   -2.42   -1.39   -1.10   -0.90 1.06    10
resid[164]          -2.43 1.38   -4.62   -3.33   -2.12   -1.20   -1.06 0.90    10
resid[165]          -0.52 0.29   -1.13   -0.54   -0.46   -0.39   -0.22 1.18    10
resid[166]          -2.21 0.80   -3.57   -2.41   -2.16   -1.66   -1.13 1.02    10
resid[167]          -0.51 0.24   -0.76   -0.68   -0.62   -0.38   -0.08 0.91    10
resid[168]          -1.86 0.79   -2.95   -2.62   -1.52   -1.21   -0.98 3.51     2
resid[169]          -0.52 0.31   -0.99   -0.70   -0.51   -0.27   -0.11 1.81     4
resid[170]          -2.20 0.91   -3.33   -3.02   -2.10   -1.71   -0.82 1.84     4
resid[171]          -0.43 0.34   -0.96   -0.66   -0.38   -0.23    0.08 1.80     4
resid[172]          -2.55 0.80   -4.19   -2.64   -2.52   -2.00   -1.83 1.12    10
resid[173]           0.86 0.29    0.34    0.72    0.89    1.11    1.16 1.77     4
resid[174]          -0.39 0.34   -0.92   -0.56   -0.43   -0.25    0.20 2.17     3
resid[175]          -2.41 1.02   -4.16   -3.11   -1.89   -1.71   -1.56 0.91    10
resid[176]           0.42 0.25    0.16    0.22    0.41    0.49    0.87 1.47     5
resid[177]          -0.29 0.21   -0.58   -0.43   -0.28   -0.21    0.03 0.92    10
resid[178]           0.33 0.23   -0.02    0.19    0.38    0.51    0.60 1.05    10
resid[179]          -2.35 0.68   -3.37   -2.73   -2.37   -2.00   -1.21 1.01    10
resid[180]           0.50 0.25    0.13    0.39    0.46    0.65    0.91 1.18     8
resid[181]          -0.97 0.32   -1.42   -1.15   -1.03   -0.73   -0.48 1.52     5
resid[182]          -0.88 0.30   -1.35   -1.07   -0.81   -0.71   -0.43 1.08    10
resid[183]          -0.26 0.16   -0.49   -0.32   -0.28   -0.17    0.00 1.04    10
resid[184]          -0.92 0.25   -1.25   -1.06   -1.01   -0.75   -0.49 2.62     3
resid[185]          -0.18 0.22   -0.47   -0.33   -0.21   -0.04    0.20 1.45     5
resid[186]           1.18 0.27    0.85    0.98    1.16    1.33    1.65 1.14    10
resid[187]          -2.72 1.92   -6.63   -2.99   -1.98   -1.70   -0.98 1.27     9
resid[188]           1.25 0.17    1.08    1.11    1.21    1.34    1.55 1.00    10
resid[189]          -2.35 0.78   -3.57   -2.68   -2.53   -1.97   -1.15 0.93    10
resid[190]          -0.81 0.20   -1.09   -0.95   -0.81   -0.72   -0.48 1.01    10
resid[191]          -0.72 0.27   -1.19   -0.83   -0.72   -0.57   -0.32 1.09    10
resid[192]           3.31 0.91    1.91    2.75    3.28    4.07    4.48 0.96    10
resid[193]          -0.82 0.23   -1.09   -0.98   -0.88   -0.76   -0.43 1.15    10
resid[194]          -2.08 0.75   -3.33   -2.43   -1.86   -1.60   -1.17 0.93    10
resid[195]           3.18 1.54    1.69    2.08    2.65    4.23    5.79 1.03    10
resid[196]          -0.77 0.27   -1.18   -0.97   -0.69   -0.56   -0.47 1.05    10
resid[197]           0.03 0.24   -0.28   -0.15    0.03    0.23    0.39 1.13    10
resid[198]           0.05 0.28   -0.26   -0.16   -0.06    0.29    0.48 0.90    10
resid[199]           0.68 0.24    0.40    0.55    0.60    0.81    1.09 0.91    10
resid[200]          -0.66 0.29   -1.01   -0.93   -0.66   -0.43   -0.27 0.91    10
resid[201]          -2.05 0.99   -3.71   -2.68   -1.62   -1.30   -1.10 1.01    10
resid[202]          -1.97 0.63   -2.80   -2.51   -1.98   -1.40   -1.23 0.92    10
resid[203]          -2.00 0.70   -3.03   -2.50   -1.77   -1.49   -1.21 0.95    10
resid[204]          -0.71 0.19   -0.95   -0.84   -0.70   -0.57   -0.41 1.32     6
resid[205]          -2.35 1.25   -4.93   -2.39   -2.05   -1.76   -1.17 1.23    10
resid[206]          -0.47 0.25   -0.80   -0.63   -0.56   -0.25   -0.11 1.02    10
resid[207]          -2.31 1.45   -5.36   -2.42   -2.04   -1.61   -1.04 1.16    10
resid[208]          -2.09 0.62   -2.81   -2.65   -2.13   -1.64   -1.15 0.96    10
resid[209]           3.09 0.93    2.00    2.44    3.07    3.30    4.70 0.94    10
resid[210]           0.11 0.26   -0.32   -0.03    0.10    0.28    0.45 1.63     4
resid[211]           0.21 0.20   -0.01    0.06    0.13    0.38    0.53 1.09    10
resid[212]          -1.83 0.95   -3.42   -2.46   -1.55   -1.11   -0.82 0.94    10
resid[213]          -0.60 0.17   -0.84   -0.73   -0.57   -0.53   -0.37 1.36     7
resid[214]          -0.66 0.26   -1.07   -0.76   -0.67   -0.57   -0.22 1.72     4
resid[215]           0.20 0.24   -0.14    0.01    0.22    0.42    0.48 1.38     6
resid[216]          -0.32 0.24   -0.72   -0.51   -0.21   -0.18   -0.07 2.25     3
resid[217]          -0.40 0.30   -0.79   -0.59   -0.41   -0.29    0.12 2.22     3
resid[218]          -0.43 0.30   -0.86   -0.67   -0.33   -0.19   -0.08 2.34     3
resid[219]          -0.44 0.22   -0.74   -0.55   -0.51   -0.27   -0.09 1.09    10
resid[220]          -0.38 0.41   -1.05   -0.59   -0.33   -0.10    0.14 1.47     5
resid[221]          -1.04 0.20   -1.28   -1.19   -1.07   -0.88   -0.75 0.94    10
resid[222]          -4.01 1.76   -6.13   -5.32   -4.49   -2.80   -1.33 0.98    10
resid[223]          -0.96 0.26   -1.36   -1.10   -0.93   -0.89   -0.54 0.98    10
resid[224]          -0.98 0.36   -1.38   -1.30   -1.01   -0.79   -0.41 1.80     4
resid[225]           1.04 0.25    0.71    0.84    1.03    1.24    1.43 1.25     7
resid[226]          -0.91 0.27   -1.24   -1.07   -0.96   -0.72   -0.48 1.19    10
resid[227]          -3.10 1.49   -5.64   -3.80   -3.02   -1.91   -1.37 1.01    10
resid[228]          -0.27 0.35   -0.70   -0.61   -0.22    0.00    0.24 1.22     8
resid[229]          -0.98 0.26   -1.37   -1.08   -0.99   -0.81   -0.57 1.55     5
resid[230]          -1.02 0.26   -1.47   -1.18   -0.99   -0.92   -0.66 1.00    10
resid[231]          -0.83 0.23   -1.11   -0.95   -0.89   -0.70   -0.44 1.11    10
resid[232]          -0.81 0.23   -1.11   -0.97   -0.84   -0.65   -0.45 1.00    10
resid[233]           2.54 1.14    1.63    1.94    2.18    2.34    4.92 1.55     5
resid[234]          -0.77 0.25   -1.09   -1.00   -0.75   -0.57   -0.41 1.47     5
resid[235]          -0.80 0.20   -1.18   -0.88   -0.79   -0.68   -0.55 0.99    10
resid[236]          -0.78 0.30   -1.24   -0.98   -0.72   -0.58   -0.37 1.27     7
resid[237]           0.51 0.24    0.25    0.32    0.42    0.68    0.90 0.95    10
resid[238]          -0.81 0.24   -1.07   -1.02   -0.87   -0.61   -0.43 0.90    10
resid[239]          -0.01 0.21   -0.28   -0.18   -0.01    0.09    0.33 1.18     9
resid[240]          -0.70 0.12   -0.87   -0.77   -0.71   -0.63   -0.53 1.51     5
resid[241]          -1.60 0.52   -2.42   -1.96   -1.40   -1.15   -1.10 1.14     9
resid[242]          -2.05 0.98   -4.09   -2.03   -1.90   -1.40   -1.16 1.64     5
resid[243]          -2.48 1.70   -5.90   -3.19   -1.74   -1.36   -1.13 2.19     3
resid[244]          -1.85 1.03   -3.80   -2.21   -1.43   -1.10   -0.92 1.96     4
resid[245]          -2.75 1.54   -5.16   -4.08   -2.06   -1.62   -1.35 1.07    10
resid[246]          -2.22 1.19   -4.60   -2.77   -1.75   -1.47   -1.19 0.99    10
resid[247]           0.04 0.29   -0.45   -0.12    0.01    0.30    0.40 1.00    10
resid[248]          -1.99 0.94   -3.60   -2.35   -1.77   -1.37   -0.93 1.37     6
resid[249]          -2.03 0.69   -3.21   -2.35   -1.87   -1.54   -1.20 1.08    10
resid[250]          -0.71 0.25   -1.04   -0.83   -0.75   -0.56   -0.33 1.50     5
resid[251]          -2.49 1.48   -4.83   -3.71   -1.93   -1.24   -1.02 0.95    10
resid[252]           3.16 0.88    2.22    2.67    2.74    3.69    4.78 1.09    10
resid[253]           2.73 0.49    1.99    2.33    2.73    3.09    3.41 0.90    10
resid[254]          -1.95 0.90   -3.50   -2.56   -1.73   -1.36   -0.85 0.98    10
resid[255]          -2.34 1.20   -4.76   -2.56   -2.15   -1.43   -1.34 1.06    10
resid[256]           0.97 0.20    0.72    0.88    0.95    1.04    1.29 1.44     5
resid[257]          -3.04 1.74   -5.90   -4.24   -2.69   -1.71   -1.01 1.08    10
resid[258]          -2.37 1.44   -4.68   -3.45   -2.11   -1.24   -0.85 0.90    10
resid[259]          -0.37 0.25   -0.86   -0.48   -0.30   -0.26   -0.05 1.39     6
resid[260]          -2.23 0.75   -3.52   -2.78   -1.90   -1.64   -1.55 1.03    10
resid[261]          -3.57 2.00   -7.58   -4.02   -3.13   -2.50   -1.40 1.34     7
resid[262]          -2.98 0.96   -4.35   -3.59   -3.02   -2.26   -1.62 0.96    10
resid[263]          -2.69 1.06   -4.80   -2.76   -2.42   -2.07   -1.56 1.00    10
resid[264]          -3.45 2.02   -6.95   -4.87   -2.84   -1.85   -1.52 1.07    10
resid[265]          -0.33 0.22   -0.56   -0.45   -0.37   -0.26    0.12 1.14    10
resid[266]          -0.22 0.25   -0.55   -0.39   -0.25   -0.06    0.21 1.08    10
resid[267]           2.46 0.76    1.50    2.16    2.22    2.42    3.96 1.19    10
resid[268]          -0.19 0.26   -0.52   -0.40   -0.19   -0.03    0.20 1.51     5
resid[269]           2.86 1.18    1.63    2.04    2.46    3.62    4.80 1.05    10
resid[270]           2.86 1.38    1.61    2.00    2.30    2.88    5.44 2.66     3
resid[271]           3.04 1.07    1.79    2.29    3.05    3.40    4.96 0.96    10
resid[272]           2.59 0.96    1.42    1.90    2.66    2.89    4.32 2.81     3
resid[273]          -0.26 0.25   -0.68   -0.39   -0.16   -0.08   -0.04 0.95    10
resid[274]          -0.27 0.24   -0.71   -0.41   -0.25   -0.12    0.04 2.27     3
resid[275]           2.71 0.97    1.61    2.21    2.42    3.18    4.52 2.31     3
resid[276]           1.20 0.32    0.83    0.93    1.17    1.32    1.76 1.06    10
resid[277]          -0.81 0.23   -1.21   -0.89   -0.71   -0.66   -0.55 1.05    10
resid[278]           1.21 0.23    0.93    1.05    1.13    1.41    1.56 0.98    10
resid[279]           2.60 0.72    1.61    2.38    2.53    2.84    3.88 0.91    10
resid[280]          -0.91 0.28   -1.20   -1.07   -0.99   -0.88   -0.37 1.86     4
resid[281]           2.58 0.77    1.79    2.15    2.32    2.71    4.01 0.90    10
resid[282]           2.71 1.16    1.69    1.82    2.57    2.93    4.97 1.39     6
resid[283]           2.52 0.65    1.91    2.11    2.21    2.79    3.76 1.08    10
resid[284]           2.63 0.82    1.67    2.15    2.32    3.00    3.99 1.59     5
resid[285]           0.08 0.30   -0.45   -0.06    0.12    0.31    0.40 0.99    10
resid[286]           2.98 0.67    1.94    2.70    2.95    3.49    3.92 1.05    10
resid[287]           2.65 0.46    2.07    2.35    2.58    2.78    3.49 1.21     8
resid[288]           2.82 0.69    1.82    2.19    2.96    3.23    3.75 0.98    10
resid[289]           2.28 0.41    1.83    1.90    2.27    2.56    2.92 1.19     9
resid[290]          -0.66 0.29   -1.09   -0.89   -0.63   -0.42   -0.28 1.10    10
resid[291]           2.97 0.78    2.07    2.45    2.75    3.41    4.37 1.00    10
resid[292]           0.69 0.24    0.27    0.59    0.81    0.83    0.90 1.84     4
resid[293]           1.42 0.37    0.83    1.09    1.55    1.73    1.83 1.30     7
resid[294]          -0.73 0.32   -1.22   -0.94   -0.65   -0.52   -0.30 1.18     9
resid[295]           0.16 0.25   -0.19    0.03    0.10    0.34    0.54 0.93    10
resid[296]          -0.57 0.33   -1.20   -0.63   -0.54   -0.33   -0.20 1.01    10
resid[297]          -1.92 0.76   -3.10   -2.13   -1.95   -1.46   -0.80 1.02    10
resid[298]           3.53 1.50    2.01    2.37    3.19    4.06    6.07 1.23     8
resid[299]           0.16 0.32   -0.42    0.01    0.20    0.40    0.55 1.19     9
resid[300]           3.48 1.31    1.88    2.54    3.20    4.11    5.65 0.95    10
resid[301]           1.63 0.21    1.30    1.55    1.66    1.73    1.94 1.20     9
resid[302]          -2.53 1.42   -4.64   -3.72   -2.14   -1.50   -0.87 1.18     9
resid[303]           1.53 0.26    1.25    1.32    1.51    1.62    2.00 0.91    10
resid[304]           0.28 0.29   -0.22    0.10    0.32    0.50    0.64 1.58     5
resid[305]           2.72 1.47    1.37    1.73    2.11    3.28    5.49 1.52     5
resid[306]           2.40 1.14    1.22    1.75    1.94    2.83    4.57 0.98    10
resid[307]           2.69 0.71    1.76    2.22    2.41    3.38    3.66 0.90    10
resid[308]           3.11 1.55    1.46    2.29    2.66    3.21    6.23 1.05    10
resid[309]           2.97 1.09    1.78    2.15    2.65    3.65    4.70 1.19     9
resid[310]           2.29 0.77    1.59    1.86    2.06    2.27    3.85 0.93    10
resid[311]          -0.86 0.22   -1.19   -0.98   -0.88   -0.81   -0.46 1.55     5
resid[312]           2.39 0.75    1.47    1.87    2.20    2.91    3.56 0.90    10
resid[313]          -0.90 0.27   -1.37   -1.06   -0.87   -0.69   -0.58 1.10    10
