[1] "d.pm.mic" "HM1F"    
Inference for Bugs model at "hyena.model1f.txt", fit using WinBUGS,
 2 chains, each with 10 iterations (first 5 discarded)
 n.sims = 10 iterations saved
                       mean   sd    2.5%     25%     50%     75%   97.5% Rhat n.eff
resid[102]             2.96 1.08    1.32    2.34    2.78    3.74    4.59 1.36     6
resid[103]            -0.22 0.38   -0.80   -0.49   -0.08   -0.02    0.25 1.94     4
resid[104]             1.15 0.36    0.57    0.92    1.25    1.41    1.60 1.17     9
resid[105]            -0.16 0.50   -1.12   -0.25   -0.09    0.18    0.36 1.27     8
resid[106]             0.21 0.30   -0.17   -0.07    0.23    0.43    0.67 1.01    10
resid[107]             0.15 0.25   -0.29    0.03    0.19    0.35    0.45 1.07    10
resid[108]            -0.48 0.28   -0.90   -0.65   -0.49   -0.35   -0.03 1.09    10
resid[109]            -1.60 0.58   -2.60   -1.93   -1.51   -1.30   -0.82 2.26     3
resid[110]             0.20 0.31   -0.27   -0.06    0.32    0.40    0.59 1.13    10
resid[111]            -2.47 1.23   -4.46   -3.45   -2.13   -1.39   -1.12 1.04    10
resid[112]             0.23 0.25   -0.23    0.14    0.22    0.44    0.53 1.03    10
resid[113]            -2.28 1.22   -4.65   -2.80   -1.80   -1.65   -0.99 1.14    10
resid[114]            -2.21 0.91   -3.66   -2.48   -2.23   -1.88   -0.82 0.90    10
resid[115]            -2.83 1.45   -5.27   -3.60   -2.16   -1.89   -1.39 0.90    10
resid[116]            -0.46 0.34   -0.91   -0.70   -0.40   -0.26    0.07 1.49     6
resid[117]            -0.21 0.35   -0.55   -0.50   -0.35    0.06    0.35 1.26     7
resid[118]            -2.36 1.07   -3.96   -3.10   -2.26   -1.57   -0.87 0.93    10
resid[119]            -0.37 0.34   -0.82   -0.64   -0.31   -0.23    0.22 1.69     4
resid[120]            -2.28 1.53   -5.06   -3.05   -1.84   -1.11   -0.81 1.42     6
resid[121]            -0.32 0.36   -0.86   -0.48   -0.28   -0.16    0.27 1.21     8
resid[122]             0.42 0.40   -0.10    0.09    0.39    0.74    0.96 1.92     4
resid[123]             0.40 0.35   -0.12    0.12    0.51    0.64    0.87 1.79     4
resid[124]            -0.31 0.31   -0.83   -0.31   -0.25   -0.18    0.13 1.09    10
resid[125]            -2.16 0.73   -3.20   -2.77   -1.97   -1.54   -1.31 0.93    10
resid[126]            -0.92 0.45   -1.50   -1.24   -1.09   -0.48   -0.29 1.01    10
resid[127]             1.22 0.45    0.62    0.93    1.21    1.37    2.00 0.93    10
resid[128]             1.11 0.44    0.47    0.90    1.09    1.36    1.81 1.12    10
resid[129]             2.69 0.80    1.41    2.13    2.90    3.25    3.65 0.94    10
resid[130]             1.19 0.40    0.74    0.89    1.12    1.32    1.93 1.23     8
resid[131]             0.81 0.27    0.43    0.59    0.82    1.03    1.16 0.96    10
resid[132]            -0.70 0.41   -1.35   -0.99   -0.69   -0.34   -0.21 1.16     9
resid[133]             2.01 0.77    1.21    1.50    1.78    2.39    3.47 2.48     3
resid[134]             2.16 1.76    1.23    1.36    1.50    2.07    5.55 1.66     4
resid[135]            -0.73 0.34   -1.17   -0.97   -0.71   -0.60   -0.14 1.39     6
resid[136]             0.71 0.43    0.04    0.43    0.74    1.05    1.25 1.00    10
resid[137]             0.76 0.32    0.24    0.52    0.80    0.99    1.13 1.03    10
resid[138]             2.72 1.22    1.31    1.78    2.15    3.84    4.42 1.43     5
resid[139]             2.60 0.91    1.37    1.97    2.48    3.09    3.99 0.91    10
resid[140]             2.64 1.37    0.98    1.44    2.55    3.59    4.74 0.94    10
resid[141]             2.21 0.97    0.88    1.48    2.07    3.01    3.54 1.01    10
resid[142]            -2.65 0.88   -4.31   -3.09   -2.33   -2.06   -1.81 0.92    10
resid[143]             2.10 0.60    1.33    1.73    1.91    2.34    3.07 0.95    10
resid[144]             2.19 1.00    0.92    1.72    1.91    2.63    4.04 0.97    10
resid[145]             2.38 1.73    0.79    1.11    1.85    3.16    5.61 1.46     5
resid[146]             0.71 0.37    0.04    0.59    0.66    0.87    1.31 1.36     7
resid[147]             0.08 0.45   -0.69   -0.05    0.13    0.33    0.71 1.17    10
resid[148]             0.08 0.46   -0.59   -0.25    0.06    0.40    0.79 1.60     5
resid[149]             0.16 0.41   -0.44   -0.09    0.12    0.48    0.71 1.26     7
resid[150]            -0.67 0.28   -1.15   -0.86   -0.62   -0.51   -0.32 1.44     6
resid[151]            -0.70 0.24   -1.01   -0.87   -0.75   -0.53   -0.34 1.02    10
resid[152]            -2.01 1.18   -4.49   -2.09   -1.64   -1.30   -1.07 1.05    10
resid[153]            -2.38 1.20   -4.59   -3.16   -1.85   -1.63   -1.38 1.12    10
resid[154]            -2.20 0.98   -4.14   -2.42   -2.04   -1.56   -1.16 1.00    10
resid[155]            -2.18 0.74   -3.50   -2.57   -2.17   -1.62   -1.32 0.94    10
resid[156]             2.88 1.02    1.48    2.35    2.55    3.61    4.43 1.62     4
resid[157]             3.19 1.90    1.64    2.26    2.81    2.93    6.98 1.25     9
resid[158]             2.79 0.75    1.96    2.16    2.69    3.20    4.01 1.11    10
resid[159]             2.52 1.20    1.75    1.90    2.07    2.40    5.03 1.05    10
resid[160]            -2.42 0.82   -3.70   -2.69   -2.39   -1.83   -1.26 1.25     8
resid[161]            -2.65 1.31   -4.86   -3.71   -2.19   -1.68   -1.31 1.09    10
resid[162]            -0.64 0.35   -1.10   -0.90   -0.71   -0.35   -0.15 2.92     3
resid[163]            -2.37 0.99   -3.69   -3.26   -2.30   -1.66   -1.02 0.99    10
resid[164]            -2.57 1.14   -4.40   -3.26   -2.55   -2.00   -0.96 0.95    10
resid[165]            -0.73 0.39   -1.26   -0.96   -0.82   -0.59   -0.11 2.03     3
resid[166]            -2.72 1.36   -5.32   -3.11   -2.59   -2.06   -1.00 1.44     5
resid[167]            -0.59 0.35   -0.98   -0.81   -0.74   -0.37    0.03 1.35     6
resid[168]            -2.06 0.62   -3.01   -2.34   -2.07   -1.75   -1.00 1.08    10
resid[169]            -0.66 0.41   -1.31   -0.94   -0.57   -0.33   -0.24 1.89     4
resid[170]            -2.60 1.10   -4.62   -2.92   -2.46   -2.04   -1.08 1.15    10
resid[171]             0.13 0.44   -0.46   -0.13    0.07    0.42    0.85 1.27     7
resid[172]            -2.24 1.14   -4.19   -3.02   -1.93   -1.45   -0.95 2.37     3
resid[173]             1.63 0.44    0.91    1.35    1.59    2.02    2.21 0.97    10
resid[174]             0.09 0.36   -0.34   -0.21    0.00    0.43    0.61 1.02    10
resid[175]            -2.58 1.24   -4.68   -3.14   -2.23   -1.72   -1.24 0.91    10
resid[176]             0.34 0.18    0.09    0.24    0.27    0.43    0.65 1.09    10
resid[177]            -0.28 0.20   -0.49   -0.42   -0.35   -0.15    0.07 0.99    10
resid[178]             0.38 0.32   -0.22    0.23    0.43    0.60    0.73 1.04    10
resid[179]            -2.52 0.91   -4.00   -3.18   -2.33   -1.73   -1.50 1.25    10
resid[180]             0.23 0.22   -0.12    0.13    0.23    0.30    0.58 1.16    10
resid[181]            -1.07 0.31   -1.61   -1.21   -1.08   -0.87   -0.68 1.03    10
resid[182]            -0.91 0.35   -1.44   -1.14   -0.98   -0.63   -0.43 1.03    10
resid[183]            -0.31 0.28   -0.71   -0.38   -0.35   -0.23    0.18 1.00    10
resid[184]            -1.06 0.23   -1.36   -1.24   -1.11   -0.86   -0.75 1.85     4
resid[185]            -0.32 0.30   -0.92   -0.33   -0.29   -0.20    0.03 1.03    10
resid[186]             1.16 0.39    0.45    1.04    1.17    1.37    1.72 1.57     5
resid[187]            -2.54 1.06   -4.61   -2.90   -2.32   -1.93   -1.31 1.49     6
resid[188]             1.10 0.36    0.61    0.79    1.18    1.32    1.65 0.96    10
resid[189]            -2.06 0.89   -3.65   -2.11   -1.80   -1.48   -1.20 1.36     7
resid[190]            -0.89 0.53   -1.79   -1.32   -0.73   -0.47   -0.38 1.24     8
resid[191]            -1.00 0.37   -1.78   -0.99   -0.90   -0.82   -0.68 1.41     6
resid[192]             2.36 0.57    1.67    1.94    2.23    2.74    3.31 1.61     4
resid[193]            -1.11 0.38   -1.84   -1.18   -1.08   -0.93   -0.61 1.42     6
resid[194]            -2.48 0.99   -4.56   -2.48   -2.08   -1.94   -1.69 1.01    10
resid[195]             2.62 1.12    1.66    1.96    2.22    2.59    4.93 0.99    10
resid[196]            -0.57 0.30   -0.95   -0.83   -0.61   -0.31   -0.15 0.96    10
resid[197]             0.11 0.23   -0.12   -0.03    0.05    0.15    0.54 0.98    10
resid[198]             0.29 0.24   -0.03    0.16    0.20    0.47    0.67 0.92    10
resid[199]             1.00 0.21    0.72    0.93    0.99    1.04    1.39 2.24     3
resid[200]            -0.53 0.28   -0.84   -0.68   -0.65   -0.38   -0.01 1.21    10
resid[201]            -1.64 0.66   -2.46   -2.33   -1.54   -1.05   -0.84 0.91    10
resid[202]            -1.71 0.90   -3.50   -1.83   -1.44   -1.12   -0.88 1.65     4
resid[203]            -1.95 1.15   -4.23   -1.98   -1.53   -1.20   -1.04 1.32     8
resid[204]            -0.46 0.16   -0.69   -0.57   -0.43   -0.32   -0.26 0.98    10
resid[205]            -2.31 1.35   -5.10   -2.57   -1.98   -1.57   -1.04 1.27     9
resid[206]            -0.29 0.23   -0.57   -0.46   -0.35   -0.09    0.03 1.50     5
resid[207]            -1.82 0.94   -3.23   -2.53   -1.56   -1.06   -0.80 0.92    10
resid[208]            -2.04 1.45   -4.51   -3.23   -1.19   -1.07   -0.84 1.03    10
resid[209]             2.71 0.56    2.18    2.36    2.47    2.87    3.84 1.29     8
resid[210]             0.43 0.36    0.01    0.23    0.39    0.54    1.10 1.55     5
resid[211]             0.34 0.38   -0.07    0.17    0.26    0.43    1.10 1.82     4
resid[212]            -1.64 0.79   -2.70   -2.43   -1.31   -0.99   -0.77 1.20     8
resid[213]            -0.43 0.29   -0.81   -0.64   -0.42   -0.31    0.07 1.96     4
resid[214]            -0.21 0.27   -0.65   -0.41   -0.14    0.01    0.06 1.58     5
resid[215]             0.31 0.38   -0.13    0.14    0.21    0.41    1.08 1.12    10
resid[216]             0.12 0.40   -0.28   -0.16    0.06    0.24    0.92 1.18    10
resid[217]             0.10 0.53   -0.49   -0.32    0.02    0.41    1.06 1.01    10
resid[218]             0.10 0.39   -0.30   -0.23    0.05    0.30    0.81 0.95    10
resid[219]             0.30 0.41   -0.32    0.10    0.33    0.55    0.93 0.99    10
resid[220]             0.35 0.43   -0.20    0.07    0.28    0.53    1.11 0.94    10
resid[221]            -1.00 0.28   -1.39   -1.19   -1.02   -0.88   -0.52 1.01    10
resid[222]            -2.29 0.73   -3.46   -2.73   -2.11   -1.71   -1.52 0.92    10
resid[223]            -1.02 0.27   -1.40   -1.23   -1.03   -0.82   -0.67 1.26     7
resid[224]            -0.91 0.28   -1.33   -1.01   -0.87   -0.81   -0.46 1.13    10
resid[225]             1.08 0.34    0.54    0.87    1.11    1.27    1.59 1.01    10
resid[226]            -0.97 0.25   -1.24   -1.11   -1.05   -0.90   -0.48 1.13    10
resid[227]            -2.46 0.69   -3.30   -2.97   -2.64   -1.80   -1.49 2.43     3
resid[228]            -0.36 0.16   -0.66   -0.44   -0.29   -0.26   -0.20 1.10    10
resid[229]            -0.96 0.23   -1.31   -1.16   -0.90   -0.80   -0.69 3.07     3
resid[230]            -0.89 0.31   -1.43   -1.04   -0.81   -0.67   -0.51 1.66     4
resid[231]            -0.99 0.35   -1.44   -1.27   -0.98   -0.74   -0.48 1.53     5
resid[232]            -0.94 0.39   -1.52   -1.16   -0.88   -0.75   -0.37 1.18    10
resid[233]             2.80 1.54    1.35    1.59    2.36    3.17    5.59 1.08    10
resid[234]            -0.95 0.26   -1.42   -1.09   -0.86   -0.77   -0.66 1.32     7
resid[235]            -1.08 0.34   -1.49   -1.30   -1.05   -1.02   -0.43 1.19    10
resid[236]            -0.88 0.42   -1.37   -1.20   -0.91   -0.75   -0.13 0.97    10
resid[237]             0.45 0.37   -0.15    0.25    0.43    0.74    0.94 1.51     5
resid[238]            -0.89 0.37   -1.42   -1.09   -0.91   -0.75   -0.20 1.18    10
resid[239]            -0.24 0.25   -0.57   -0.50   -0.15   -0.05    0.06 0.92    10
resid[240]            -0.90 0.43   -1.53   -1.13   -0.90   -0.71   -0.17 1.25     9
resid[241]            -2.29 1.05   -3.66   -2.93   -2.46   -1.71   -0.54 0.96    10
resid[242]            -1.61 0.69   -2.71   -2.09   -1.61   -1.12   -0.63 1.03    10
resid[243]            -2.15 0.98   -4.08   -2.40   -2.01   -1.76   -1.01 1.52     5
resid[244]            -2.56 1.16   -4.18   -3.45   -2.47   -1.73   -1.03 1.10    10
resid[245]            -1.90 0.87   -3.65   -1.89   -1.75   -1.57   -0.93 1.35     7
resid[246]            -2.45 1.19   -4.15   -3.51   -2.19   -1.68   -0.83 0.99    10
resid[247]             0.28 0.38   -0.27    0.09    0.30    0.46    0.91 2.14     3
resid[248]            -1.45 0.59   -2.47   -1.60   -1.24   -1.07   -0.85 2.38     3
resid[249]            -2.34 0.87   -3.41   -3.10   -2.37   -1.60   -1.09 1.00    10
resid[250]            -0.42 0.21   -0.69   -0.59   -0.43   -0.27   -0.12 1.97     4
resid[251]            -1.90 1.22   -3.92   -2.76   -1.62   -1.09   -0.36 1.05    10
resid[252]             3.89 1.60    1.93    2.85    3.41    4.87    6.65 1.10    10
resid[253]             3.17 0.81    1.87    2.57    3.25    3.74    4.13 0.96    10
resid[254]            -1.89 1.05   -3.60   -2.49   -1.48   -1.28   -0.66 1.67     4
resid[255]            -1.55 0.95   -3.56   -1.49   -1.27   -1.00   -0.74 1.08    10
resid[256]             1.14 0.36    0.66    0.91    1.14    1.40    1.69 0.90    10
resid[257]            -2.23 0.91   -3.63   -2.97   -2.07   -1.57   -1.06 1.17    10
resid[258]            -2.28 0.90   -3.72   -2.82   -2.24   -1.89   -0.86 1.62     4
resid[259]            -0.20 0.48   -0.90   -0.50   -0.19    0.08    0.57 1.08    10
resid[260]            -2.25 0.48   -2.91   -2.58   -2.41   -1.84   -1.60 1.88     4
resid[261]            -2.58 0.42   -3.44   -2.69   -2.46   -2.31   -2.21 1.12    10
resid[262]            -2.36 0.88   -3.77   -2.64   -2.33   -1.79   -1.28 0.98    10
resid[263]            -2.36 0.86   -4.07   -2.53   -2.06   -1.97   -1.50 1.01    10
resid[264]            -3.26 1.29   -4.96   -4.18   -3.47   -2.35   -1.30 0.97    10
resid[265]            -0.87 0.46   -1.49   -1.21   -0.86   -0.46   -0.23 0.91    10
resid[266]            -0.84 0.35   -1.25   -1.06   -0.94   -0.69   -0.26 0.91    10
resid[267]             2.85 2.01    0.58    1.56    2.41    3.83    6.39 0.96    10
resid[268]            -0.75 0.44   -1.39   -1.03   -0.76   -0.40   -0.16 1.02    10
resid[269]             2.09 1.09    0.70    1.23    2.00    2.68    3.80 0.91    10
resid[270]             1.85 0.94    0.79    1.16    1.76    2.38    3.44 0.98    10
resid[271]             2.49 1.05    0.73    1.97    2.61    3.07    4.05 1.05    10
resid[272]             2.22 0.98    0.81    1.27    2.43    2.92    3.38 0.91    10
resid[273]            -0.73 0.41   -1.31   -1.00   -0.74   -0.44   -0.17 0.96    10
resid[274]            -0.86 0.41   -1.41   -1.19   -0.89   -0.52   -0.31 0.95    10
resid[275]             1.69 0.53    0.96    1.28    1.75    1.91    2.53 1.03    10
resid[276]             0.72 0.45    0.17    0.30    0.67    0.98    1.46 1.11    10
resid[277]            -1.55 0.42   -2.17   -1.85   -1.55   -1.35   -0.87 1.06    10
resid[278]             0.60 0.47   -0.04    0.43    0.55    0.69    1.49 1.26    10
resid[279]             2.23 0.77    0.86    1.78    2.28    2.86    3.15 1.23     9
resid[280]            -1.37 0.57   -2.22   -1.62   -1.35   -1.07   -0.40 1.02    10
resid[281]             2.94 1.47    1.12    1.72    2.64    4.18    5.00 2.53     3
resid[282]             2.08 0.67    1.10    1.56    2.13    2.56    2.90 1.14    10
resid[283]             1.93 0.76    0.87    1.37    2.02    2.27    3.18 1.35     6
resid[284]             2.12 1.06    0.87    1.75    1.80    2.06    4.02 1.07    10
resid[285]            -0.25 0.26   -0.68   -0.36   -0.31   -0.08    0.14 2.42     3
resid[286]             2.58 1.02    1.73    1.82    2.20    2.96    4.51 0.94    10
resid[287]             3.06 1.42    1.77    1.94    2.50    3.70    5.44 1.12    10
resid[288]             2.74 0.99    1.47    2.09    2.70    3.15    4.35 1.28     7
resid[289]             2.81 0.90    1.76    2.13    2.67    3.30    4.38 1.10    10
resid[290]            -0.98 0.41   -1.55   -1.38   -0.92   -0.64   -0.48 1.26     9
resid[291]             3.04 1.27    1.46    2.28    2.82    3.33    5.38 1.40     6
resid[292]             0.44 0.25    0.05    0.33    0.41    0.54    0.85 1.01    10
resid[293]             1.06 0.31    0.69    0.77    1.06    1.23    1.52 1.36     6
resid[294]            -0.94 0.34   -1.59   -0.97   -0.94   -0.76   -0.52 2.15     3
resid[295]            -0.11 0.23   -0.47   -0.29   -0.05    0.06    0.16 1.37     7
resid[296]            -0.82 0.30   -1.23   -1.11   -0.77   -0.55   -0.45 1.05    10
resid[297]            -3.06 0.86   -4.46   -3.68   -2.61   -2.40   -2.22 0.92    10
resid[298]             2.97 1.11    1.58    2.24    2.61    3.91    4.59 1.24     8
resid[299]            -0.23 0.34   -0.68   -0.51   -0.22    0.00    0.29 0.94    10
resid[300]             2.67 1.35    1.56    1.90    2.34    2.85    5.23 1.15    10
resid[301]             1.20 0.34    0.66    0.92    1.24    1.41    1.63 1.10    10
resid[302]            -2.50 1.13   -4.55   -2.83   -2.34   -1.66   -1.23 1.91     4
resid[303]             1.24 0.22    0.85    1.19    1.25    1.33    1.58 0.95    10
